date,demand,marketing_event,holiday
01-06-2026,118,0,0
02-06-2026,121,0,0
03-06-2026,125,0,0
04-06-2026,123,0,0
05-06-2026,137,1,0
06-06-2026,151,1,0
07-06-2026,143,0,1
08-06-2026,126,0,0
09-06-2026,129,0,0
10-06-2026,132,0,0
11-06-2026,135,0,0
12-06-2026,148,1,0
13-06-2026,160,1,0
14-06-2026,146,0,1
15-06-2026,131,0,0
16-06-2026,134,0,0
17-06-2026,139,0,0
18-06-2026,141,0,0
19-06-2026,154,1,0
20-06-2026,168,1,0
21-06-2026,152,0,1
22-06-2026,137,0,0
23-06-2026,140,0,0
24-06-2026,144,0,0
25-06-2026,147,0,0
26-06-2026,161,1,0
27-06-2026,174,1,0
28-06-2026,158,0,1
29-06-2026,143,0,0
30-06-2026,146,0,0
